date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:20	35445/35445	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:22	15013/15013	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/venobox/venobox.min.js	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/venobox/venobox.min.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:22	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/owl.carousel/owl.carousel.min.js	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/owl.carousel/owl.carousel.min.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:22	14690/14690	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/aos/aos.js	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/aos/aos.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:23	6121/6121	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/js/main.js	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/js/main.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:28	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/damola/Downloads/Compressed/sales/www.google-analytics.com/analytics.js	(from https://bootstrapmade.com/demo/templates/Arsha/)
16:23:28	263296/263296	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.eot	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/css/boxicons.min.css)
16:23:28	645604/645604	---MCZ	200	added ('OK')	font/woff	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/fonts/icofont.woff	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/fonts/icofont.woff	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/icofont.min.css)
16:23:29	537868/537868	---MCZ	200	added ('OK')	font/woff2	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/fonts/icofont.woff2	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/fonts/icofont.woff2	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/icofont/icofont.min.css)
16:23:29	89924/89924	---MCZ	200	added ('OK')	font/woff2	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/css/boxicons.min.css)
